player_id,team_id,season,aerial_duels_won,assists,sub_on,corners_won,passes_total,passes_opposition_half_unsuccessful,duels_ground,passes_forward,crossses_corners_unsuccessful,minutes,key_passes,passes_open_play,passess_opp_half_successful,tackles_won,lay_offs_unsuccessful,tackles_total,crosses_open_play_successful,launches_successful,games_played,passes_own_half_unsuccessful,clearances_total,passes_backwards,loss_of_possession_total,duels_aerial,short_passes_successful,open_play_passes_successful,touches,launches_unsuccessful,sub_off,passes_rightside,duels_ground_lost,ground_duels_won,touches_total_opposition_box,lay_offs_successful,goals_conceded,shots_on_target,foul_attempted_tackle,duels_lost,duels_won,shots_total,passess_leftside,successful_passes_total,appearances,shots_blocked,shots_off_target,goals_conceded_outside_box,tackles_lost,crosses_corners_successful,duels,tackled,passes_unsuccessful,open_play_crosses_unsuccessful,total_fouls_won,short_passes_unsuccessful,goals_conceded_inside_box,long_passess_successful,dribbles_successful,long_passes_unsuccessful,aerial_duels_lost,goals_conceded_penalty,assists_intentional,passes_own_half_successful,dribbles_unsuccessful,starts,throw_ins_to_own_player,interceptions,fouls_conceded_total,recoveries,goals_win,blocks,offsides,penalties_taken,handballs_conceded,goals,goals_outside_box,penalty_goals,through_balls,attempts_from_set_pieces,corners_into_box_successful,clean_sheets,goals_inside_box,corners_taken,corners_into_box_unsuccessful,goals_right_foot,goals_left_foot,goals_home,goals_away,throw_ins_to_opposition_player,goals_head,penalties_conceded,yellow_cards,woodwork_hit,goalkicks_total,punches,gk_distribution_unsuccessful,saves_made_outside_box,gk_smother,saves_made_caught,saves_made_parried,drops,saves_made_inside_box,saves_made,gk_distribution_successful,catches,penalties_faced,goals_other,penalties_won,last_updated
797,15,2023,11,2,7,14,133,62,38,50,17,495,1,132,52,6,3,10,3,1,12,14,3,30,109,18,71,73,249,5,4,30,21,17,41,1,7,4,4,28,28,8,23,74,12,8,4,2,4,3,56,12,59,17,4,48,5,3,3,11,7,1,2,25,2,5,2,2,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
367,15,2023,2,0,2,0,18,3,9,3,0,57,2,18,10,1,0,1,1,0,2,1,1,7,9,5,14,14,34,0,1,3,2,7,7,0,1,0,0,5,9,1,5,14,2,0,1,0,0,1,14,1,4,0,2,4,1,0,4,0,3,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
241,15,2023,0,0,2,2,18,7,7,10,1,41,1,16,9,0,0,1,1,1,2,1,0,1,13,0,9,9,42,0,0,1,4,3,1,0,0,0,0,4,3,2,6,11,2,1,2,0,1,1,7,4,7,1,0,4,0,2,2,3,0,0,0,3,2,0,6,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
433,15,2023,4,3,1,11,251,131,114,96,76,901,23,241,163,13,0,24,13,0,12,27,1,63,232,12,166,160,546,8,6,41,63,51,42,2,17,6,7,71,55,14,51,169,12,8,8,3,11,27,126,40,82,37,8,69,14,3,19,13,8,3,3,33,19,11,3,3,11,46,0,0,3,2,1,3,1,1,1,4,13,1,2,54,34,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
620,15,2023,4,2,2,6,263,63,63,98,17,703,17,260,142,8,1,11,2,0,11,23,5,60,115,6,191,191,415,7,6,75,24,39,33,3,14,3,1,26,43,9,30,194,11,3,6,3,3,6,69,14,69,12,11,56,11,3,17,13,2,3,1,58,8,9,15,6,3,59,1,0,1,0,0,1,0,0,1,0,4,0,1,8,4,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
48,15,2023,20,0,0,2,259,62,43,134,3,574,8,258,113,4,0,11,2,4,7,26,16,23,105,43,163,173,371,6,3,56,25,18,13,1,9,2,7,48,38,5,46,174,7,3,3,1,7,2,86,9,85,3,4,73,8,11,3,12,23,2,0,63,2,7,3,9,15,58,0,4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
53,15,2023,10,0,0,2,681,85,53,343,4,1350,3,651,186,10,0,15,0,7,15,64,52,57,169,17,511,512,847,20,0,89,16,37,3,0,23,1,0,23,47,2,192,536,15,0,1,5,5,0,70,6,145,4,13,87,18,25,9,58,7,4,0,350,3,15,6,14,4,122,0,5,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
485,15,2023,4,1,5,1,288,38,52,100,0,664,1,287,113,9,0,13,1,0,12,19,13,48,84,14,217,230,412,7,3,68,30,22,14,2,10,0,4,40,26,5,72,231,12,2,5,3,4,1,66,9,57,0,2,44,7,14,7,13,10,0,0,119,6,7,23,9,12,63,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
229,15,2023,1,0,0,0,506,35,3,212,0,1350,1,327,30,0,0,0,0,10,15,55,7,1,92,2,316,285,645,18,0,162,3,0,0,0,23,0,1,4,1,0,131,416,15,0,0,5,0,0,5,0,90,0,0,18,18,100,0,72,1,4,0,386,0,15,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,111,6,24,14,1,3,11,1,35,49,155,10,4,0,0,2023-07-10
298,15,2023,25,0,6,4,201,67,64,67,5,631,17,194,99,6,1,8,0,1,13,12,2,35,140,52,122,120,334,1,4,52,41,23,37,7,16,7,6,68,48,13,47,127,13,2,6,3,2,0,116,27,74,5,8,70,13,5,7,4,27,3,0,28,9,7,2,2,9,24,1,1,6,0,1,2,0,0,2,0,0,1,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-10
619,15,2023,11,2,7,3,159,65,29,71,24,283,8,150,79,4,1,5,5,1,9,13,1,25,92,26,102,97,249,1,2,38,17,12,12,3,6,0,1,32,23,3,25,105,9,4,3,3,1,13,55,8,54,10,3,51,3,3,4,3,15,1,2,39,1,2,2,1,4,30,0,0,2,0,0,0,0,0,1,0,7,0,0,20,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
273,15,2023,11,0,3,3,59,22,21,21,1,276,3,58,20,2,0,2,0,0,6,7,5,12,43,15,31,30,106,1,2,17,12,9,16,1,0,5,2,16,20,6,9,31,6,2,1,0,0,0,36,8,28,1,7,27,0,0,1,1,4,0,0,11,4,3,0,0,3,4,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
340,15,2023,13,1,0,19,638,228,116,267,64,1306,25,593,323,15,3,19,8,1,15,27,6,135,349,29,417,404,959,3,3,136,56,60,45,13,22,9,6,72,73,19,100,447,15,3,10,5,4,12,145,40,191,40,28,162,17,30,13,29,16,4,1,136,16,15,12,4,12,72,0,2,10,0,4,2,0,0,11,1,3,2,2,23,17,1,0,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-07-10
617,15,2023,12,0,6,0,165,28,35,68,2,410,2,164,74,5,0,10,0,1,11,12,9,22,59,24,122,126,236,3,5,39,16,19,2,0,5,0,2,28,31,2,36,127,11,1,2,1,5,0,59,8,38,2,2,31,4,5,7,7,12,0,0,53,3,5,0,6,5,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
152,15,2023,18,0,0,6,590,96,76,288,6,1234,5,575,168,13,0,29,3,8,14,59,56,56,197,42,418,428,847,41,2,157,32,44,17,0,19,2,5,56,62,9,89,441,14,2,7,3,16,3,118,8,149,6,6,84,16,23,9,65,24,4,0,276,4,14,37,19,13,129,0,2,0,0,1,1,0,0,0,0,0,3,1,0,0,0,1,0,1,11,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023-07-10
786,15,2023,0,0,1,0,2,1,0,2,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
618,15,2023,4,0,1,1,256,25,21,103,1,613,1,250,57,8,0,10,0,1,7,24,32,20,56,8,192,203,331,12,0,86,7,14,3,0,12,0,0,11,18,0,47,208,7,2,0,3,2,0,29,2,48,1,4,25,9,16,0,23,4,2,0,151,0,6,0,5,2,39,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
559,15,2023,11,0,3,8,389,91,80,195,20,915,6,383,176,22,0,33,7,5,13,47,18,62,184,19,259,266,678,15,5,43,37,43,13,0,18,1,12,45,54,1,89,271,13,2,0,3,11,7,99,10,118,20,7,88,15,12,3,30,8,3,0,102,2,10,113,7,13,76,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
185,15,2023,5,0,7,7,128,37,71,69,11,418,2,127,53,12,0,18,1,1,11,14,6,14,93,10,87,87,304,6,3,6,36,35,11,0,5,0,7,41,40,3,39,88,11,4,3,1,6,1,81,19,40,11,12,30,4,1,5,10,5,1,0,36,11,4,39,5,9,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
737,15,2023,3,1,3,6,191,68,104,50,23,869,11,190,106,11,1,24,2,1,13,11,5,48,156,6,133,134,412,2,7,52,52,52,63,1,17,7,6,55,55,13,41,135,13,10,6,4,13,2,110,31,56,23,10,52,13,2,18,4,3,2,1,31,12,10,1,5,11,46,0,0,3,0,1,3,1,0,2,0,0,0,2,0,0,3,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-07-10
614,15,2023,10,0,3,10,248,80,81,146,14,679,2,247,76,16,0,25,1,3,12,21,25,32,167,18,156,160,543,7,5,62,36,45,25,0,10,6,6,44,55,15,8,161,12,4,9,3,9,1,99,19,87,14,6,69,7,5,14,18,8,2,0,86,9,9,80,6,12,52,1,1,2,0,1,2,0,0,0,0,0,1,2,0,0,0,2,0,2,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
174,15,2023,18,1,4,1,359,59,85,153,3,1080,2,352,137,9,0,20,0,1,15,34,14,54,132,34,261,262,524,6,2,91,50,35,20,3,18,2,4,66,53,7,61,269,15,6,5,4,11,0,119,18,90,3,10,82,14,8,5,8,16,4,0,132,9,11,3,16,16,87,0,5,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
